"month" "year" "day" "wy" "tavg" "precip" "trans" "psn"
"1" 8 1990 1 1990 18.589582 0 4.469338 0.01045
"2" 8 1990 2 1990 18.034027 0 4.2639 0.011329
"3" 8 1990 3 1990 19.145138 0 4.130662 0.010215
"4" 8 1990 4 1990 19.978471 0 3.978819 0.008725
"5" 8 1990 5 1990 22.478471 0 3.009451 0.004345
"6" 8 1990 6 1990 23.783398 0.254 0 0.001007
"7" 8 1990 7 1990 22.478471 0 3.137663 0.003544
"8" 8 1990 8 1990 20.172287 0.508 0 0.007733
"9" 8 1990 9 1990 20.256249 0 3.086917 0.00809
"10" 8 1990 10 1990 21.645138 0 3.456323 0.005208
"11" 8 1990 11 1990 21.922916 0 3.248025 0.004774
"12" 8 1990 12 1990 21.089582 0 3.271616 0.006186
"13" 8 1990 13 1990 19.422916 0 3.61262 0.008412
"14" 8 1990 14 1990 19.422916 0 3.935383 0.008145
"15" 8 1990 15 1990 17.200694 0 4.187493 0.010008
"16" 8 1990 16 1990 13.589582 0 3.97641 0.01042
"17" 8 1990 17 1990 14.145138 0 4.002292 0.01052
"18" 8 1990 18 1990 13.311805 0 3.756536 0.010243
"19" 8 1990 19 1990 9.700694 0 2.821576 0.008143
"20" 8 1990 20 1990 8.589582 0 2.583383 0.007469
"21" 8 1990 21 1990 10.256249 0 3.550317 0.009208
"22" 8 1990 22 1990 12.200694 0 3.928107 0.010277
"23" 8 1990 23 1990 14.422916 0 3.662373 0.010309
"24" 8 1990 24 1990 14.978471 0 4.065945 0.01071
"25" 8 1990 25 1990 11.645138 0 4.241886 0.010228
"26" 8 1990 26 1990 9.422916 0 3.631139 0.00896
"27" 8 1990 27 1990 9.700694 0 3.845759 0.00925
"28" 8 1990 28 1990 14.978471 0 4.138312 0.010448
"29" 8 1990 29 1990 17.478471 0 3.576245 0.0096
"30" 8 1990 30 1990 17.478471 0 4.447695 0.008868
"31" 8 1990 31 1990 14.145138 0 3.952788 0.010259
"32" 9 1990 1 1990 13.86736 0 3.843893 0.010263
"33" 9 1990 2 1990 16.089582 0 3.876854 0.010244
"34" 9 1990 3 1990 17.756249 0 4.113977 0.009179
"35" 9 1990 4 1990 15.811805 0 3.69757 0.010039
"36" 9 1990 5 1990 17.756249 0 3.206016 0.007724
"37" 9 1990 6 1990 18.589582 0 3.309687 0.007116
"38" 9 1990 7 1990 17.200694 0 3.23018 0.00792
"39" 9 1990 8 1990 17.200694 0 3.56797 0.007892
"40" 9 1990 9 1990 18.034027 0 3.932666 0.007079
"41" 9 1990 10 1990 20.811805 0 2.958699 0.004584
"42" 9 1990 11 1990 19.700694 0 3.431777 0.005673
"43" 9 1990 12 1990 19.422916 0 3.806534 0.005435
"44" 9 1990 13 1990 17.478471 0 3.425124 0.007061
"45" 9 1990 14 1990 17.200694 0 3.292143 0.007241
"46" 9 1990 15 1990 15.534027 0 3.915096 0.007663
"47" 9 1990 16 1990 13.311805 0 3.880115 0.008078
"48" 9 1990 17 1990 12.200694 0 3.211438 0.007696
"49" 9 1990 18 1990 11.089582 0 2.778955 0.00699
"50" 9 1990 19 1990 12.200694 0 2.838169 0.007293
"51" 9 1990 20 1990 11.089582 0 2.050426 0.005802
"52" 9 1990 21 1990 14.145138 0 2.470233 0.006594
"53" 9 1990 22 1990 11.838954 4.572 0 0.005693
"54" 9 1990 23 1990 9.616732 10.16 0 0.005135
"55" 9 1990 24 1990 8.783398 3.048 0 0.003933
"56" 9 1990 25 1990 8.86736 0 1.337768 0.003949
"57" 9 1990 26 1990 9.700694 0 1.835589 0.0051
"58" 9 1990 27 1990 9.978471 0 1.994957 0.0054
"59" 9 1990 28 1990 7.394509 3.81 0 0.003763
"60" 9 1990 29 1990 9.700694 0 2.162191 0.005433
"61" 9 1990 30 1990 13.034027 0 2.06508 0.005781
"62" 10 1990 1 1991 14.700694 0 2.127663 0.005812
"63" 10 1990 2 1991 14.422916 0 2.805783 0.006685
"64" 10 1990 3 1991 13.86736 0 1.936682 0.005355
"65" 10 1990 4 1991 17.200694 0 2.213279 0.005611
"66" 10 1990 5 1991 16.645138 0 2.484857 0.005972
"67" 10 1990 6 1991 13.589582 0 2.60189 0.006182
"68" 10 1990 7 1991 9.700694 0 1.878495 0.004529
"69" 10 1990 8 1991 8.034027 0 1.026977 0.002813
"70" 10 1990 9 1991 10.811805 0 1.939999 0.004877
"71" 10 1990 10 1991 12.478471 0 2.020323 0.005254
"72" 10 1990 11 1991 13.034027 0 2.03586 0.00529
"73" 10 1990 12 1991 13.034027 0 1.771376 0.004802
"74" 10 1990 13 1991 13.589582 0 2.044862 0.005275
"75" 10 1990 14 1991 13.034027 0 1.766365 0.004764
